0,0
0.001,-0.00016667
0.002,0
0.003,0
0.004,0
0.005,-0.00016667
0.006,0
0.007,0
0.008,0
0.009,0
0.01,0
0.011,0
0.012,-0.00016667
0.013,0
0.014,0
0.015,0
0.016,-0.00016667
0.017,0
0.018,0
0.019,0
0.02,0
0.021,0
0.022,0
0.023,0
0.024,0
0.025,-0.00016667
0.026,0
0.027,0
0.028,0
0.029,-0.00016667
0.03,0
0.031,0
0.032,-0.00016667
0.033,-0.00016667
0.034,0
0.035,0
0.036,-0.00016667
0.037,0
0.038,0
0.039,0
0.04,-0.00016667
0.041,0
0.042,0
0.043,-0.00016667
0.044,0
0.045,0
0.046,-0.00016667
0.047,0
0.048,0
0.049,0
0.05,-0.00016667
0.051,0
0.052,0
0.053,-0.00016667
0.054,0
0.055,0
0.056,0
0.057,-0.00016667
0.058,0
0.059,0
0.06,-0.00016667
0.061,-0.00016667
0.062,0
0.063,0
0.064,-0.00016667
0.065,0
0.066,0
0.067,-0.00016667
0.068,0
0.069,0
0.07,-0.00016667
0.071,-0.00016667
0.072,0
0.073,0
0.074,0
0.075,0
0.076,0
0.077,-0.00016667
0.078,0
0.079,0
0.08,-0.00016667
0.081,-0.00016667
0.082,0
0.083,0
0.084,-0.00016667
0.085,0
0.086,0
0.087,-0.00016667
0.088,0
0.089,0
0.09,0
0.091,-0.00016667
0.092,0
0.093,0
0.094,0
0.095,-0.00016667
0.096,0
0.097,0
0.098,-0.00016667
0.099,-0.00016667
0.1,0
0.101,0
0.102,-0.00016667
0.103,0
0.104,0
0.105,-0.00016667
0.106,0
0.107,0
0.108,0
0.109,-0.00016667
0.11,0
0.111,0
0.112,-0.00016667
0.113,0
0.114,0
0.115,0
0.116,0
0.117,-0.00016667
0.118,-0.00016667
0.119,0
0.12,0
0.121,-0.00016667
0.122,-0.00016667
0.123,0
0.124,0
0.125,0
0.126,0
0.127,0
0.128,0
0.129,-0.00016667
0.13,-0.00016667
0.131,0
0.132,0
0.133,-0.00016667
0.134,-0.00016667
0.135,0
0.136,0
0.137,0
0.138,0
0.139,0
0.14,0
0.141,0
0.142,0
0.143,-0.00016667
0.144,0
0.145,0
0.146,-0.00016667
0.147,0
0.148,0
0.149,0
0.15,-0.00016667
0.151,0
0.152,0
0.153,-0.00016667
0.154,0
0.155,0
0.156,0
0.157,0
0.158,0
0.159,0
0.16,0
0.161,0
0.162,0
0.163,-0.00016667
0.164,0
0.165,0
0.166,-0.00016667
0.167,-0.00016667
0.168,0
0.169,0
0.17,-0.00016667
0.171,0
0.172,0
0.173,-0.00016667
0.174,-0.00016667
0.175,0
0.176,0
0.177,-0.00016667
0.178,0
0.179,0
0.18,0
0.181,0
0.182,0
0.183,0
0.184,-0.00016667
0.185,0
0.186,0
0.187,-0.00016667
0.188,-0.00016667
0.189,0
0.19,0
0.191,-0.00016667
0.192,-0.00016667
0.193,0
0.194,0
0.195,-0.00016667
0.196,-0.00016667
0.197,0
0.198,0
0.199,-0.00016667
0.2,0
0.201,0
0.202,-0.00016667
0.203,0
0.204,0
0.205,-0.00016667
0.206,0
0.207,0
0.208,0
0.209,-0.00016667
0.21,0
0.211,0
0.212,-0.00016667
0.213,-0.00016667
0.214,0
0.215,0
0.216,-0.00016667
0.217,0
0.218,0
0.219,-0.00016667
0.22,-0.00016667
0.221,0
0.222,0
0.223,0
0.224,0
0.225,-0.00016667
0.226,-0.00016667
0.227,0
0.228,0
0.229,0
0.23,-0.00016667
0.231,0
0.232,0
0.233,0
0.234,-0.00016667
0.235,0
0.236,0
0.237,-0.00016667
0.238,-0.00016667
0.239,0
0.24,0
0.241,-0.00016667
0.242,-0.00016667
0.243,0
0.244,0
0.245,-0.00016667
0.246,0
0.247,0
0.248,-0.00016667
0.249,-0.00016667
0.25,0
0.251,0
0.252,0
0.253,0
0.254,0
0.255,-0.00016667
0.256,0
0.257,0
0.258,-0.00016667
0.259,-0.00016667
0.26,0
0.261,0
0.262,-0.00016667
0.263,-0.00016667
0.264,0
0.265,0
0.266,-0.00016667
0.267,0
0.268,0
0.269,0
0.27,0
0.271,0
0.272,-0.00016667
0.273,0
0.274,0
0.275,0
0.276,-0.00016667
0.277,0
0.278,0
0.279,-0.00016667
0.28,-0.00016667
0.281,0
0.282,0
0.283,-0.00016667
0.284,-0.00016667
0.285,0
0.286,0
0.287,-0.00016667
0.288,-0.00016667
0.289,0
0.29,0
0.291,0
0.292,0
0.293,0
0.294,0
0.295,0
0.296,0
0.297,-0.00016667
0.298,-0.00016667
0.299,0
0.3,0
0.301,0
0.302,0
0.303,-0.00016667
0.304,-0.00016667
0.305,0
0.306,0
0.307,-0.00016667
0.308,0
0.309,0
0.31,-0.00016667
0.311,-0.00016667
0.312,0
0.313,0
0.314,-0.00016667
0.315,-0.00016667
0.316,0
0.317,0
0.318,-0.00016667
0.319,0
0.32,0
0.321,-0.00016667
0.322,-0.00016667
0.323,0
0.324,0
0.325,-0.00016667
0.326,0
0.327,0
0.328,0
0.329,0
0.33,0
0.331,0
0.332,0
0.333,0
0.334,0
0.335,0
0.336,0
0.337,0
0.338,-0.00016667
0.339,-0.00016667
0.34,0
0.341,0
0.342,-0.00016667
0.343,0
0.344,0
0.345,-0.00016667
0.346,-0.00016667
0.347,0
0.348,-0.00016667
0.349,-0.00016667
0.35,0
